Sa,07.12.19,15:00
M3
TV,Steffisburg,3
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,4,1,0,0,0
Blaser,Dominic,1,0,1,1,0
Bühlmann,Dominic,0,0,0,0,0
Christen,Keanu,1,0,0,0,0
Fassmann,Cyril,4,0,0,0,0
Jutzi,Florian,4,0,0,0,0
Kienast,Simon,2,0,0,0,0
Nyfeler,Dan,Theodor,2,0,0,0,0
Pauli,Fabian,0,0,0,0,0
Preusser,Michael,0,0,0,0,0
Schüpbach,Manuel,1,0,1,0,0
Targise,Alessandro,3,0,1,0,0
Targise,Nando,2,0,0,0,0
