Sa,29.02.20,19:00
M3
TV,Steffisburg,3
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,1,0,0,0,0
Gasic,Milan,4,0,0,1,0
Hohl,Florian,2,0,0,0,0
Jutzi,Thomas,0,0,0,0,0
Kienast,Simon,3,0,0,0,0
Nyfeler,Dan,Theodor,0,0,0,0,0
Preusser,Michael,0,0,0,0,0
Schüpbach,Manuel,5,3,1,1,0
Schüpbach,Manuel,0,0,0,0,0
Targise,Alessandro,3,0,1,0,0
Targise,Nando,1,0,0,0,0
Tschanz,Timon,1,0,0,0,0
