So,27.10.19,13:00
M3
TV,Steffisburg,3
SPIELER,TORE,7M,V,2',D
Berger,Thomas,0,0,1,0,0
Bühlmann,Dominic,0,0,0,0,0
Christen,Andreas,1,0,0,0,0
Fassmann,Cyril,4,0,0,0,0
Jutzi,Thomas,6,3,0,0,0
Kienast,Simon,2,0,0,0,0
Kuster,Noël,1,0,1,1,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,2,0,1,0,0
Targise,Nando,0,0,0,1,0
Von,Wartburg,Micha,0,0,0,1,0
