Sa,11.01.20,16:00
M3
TV,Steffisburg,3
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,1,1,0,0,0
Christen,Andreas,3,0,1,1,0
Gasic,Milan,1,0,0,0,0
Jutzi,Florian,2,0,0,0,0
Jutzi,Thomas,2,0,1,0,0
Kienast,Simon,0,0,0,1,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,0,0,0,0,0
Schüpbach,Manuel,3,0,0,0,0
Targise,Alessandro,5,0,0,0,0
Targise,Nando,1,0,0,0,0
Tschanz,Timon,3,0,1,0,0
