Sa,07.03.20,15:00
M3
TV,Steffisburg,3
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,1,0,0,1,0
Bühlmann,Dominic,0,0,0,0,0
Gasic,Milan,3,0,0,0,0
Jutzi,Thomas,4,1,0,0,0
Kienast,Simon,0,0,1,1,0
Nyfeler,Dan,Theodor,0,0,0,1,0
Preusser,Michael,0,0,0,0,0
Targise,Alessandro,5,0,0,0,0
Tschanz,Timon,5,3,0,0,0
Von,Wartburg,Micha,0,0,0,0,0
