Sa,23.11.19,17:00
M3
TV,Steffisburg,3
SPIELER,TORE,7M,V,2',D
Berger,Thomas,0,0,0,0,0
Blaser,Dominic,2,0,1,0,0
Bühlmann,Dominic,0,0,0,0,0
Christen,Andreas,0,0,0,0,0
Fassmann,Cyril,4,0,1,2,0
Jutzi,Florian,8,3,0,0,0
Kienast,Simon,1,0,0,0,0
Neuenschwander,Dominic,1,0,1,3,0
Nyfeler,Dan,Theodor,2,0,0,1,0
Pauli,Fabian,0,0,0,0,0
Preusser,Michael,1,0,0,0,0
Targise,Alessandro,1,0,0,0,0
Targise,Nando,0,0,0,0,0
Von,Wartburg,Micha,2,0,0,0,0
