Sa,17.11.18,13:30
M3
TV,Steffisburg,3,*
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,1,0,0,0,0
Berger,Thomas,2,0,0,0,0
Blaser,Dominic,0,0,0,3,0
Christen,Andreas,2,0,0,0,0
Jutzi,Florian,7,0,1,0,0
Jutzi,Thomas,2,0,0,0,0
Kienast,Simon,2,0,0,0,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,0,0,0,0,0
Schüpbach,Benjamin,1,0,0,0,0
Targise,Alessandro,3,0,0,0,0
Tschanz,Timon,1,0,1,0,0
Von,Wartburg,Micha,1,0,1,1,0
