Sa,30.03.19,16:00
M3
TV,Steffisburg,3,*
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,3,2,0,0,0
Blaser,Dominic,1,0,0,0,0
Christen,Andreas,0,0,1,0,0
Fuster,Tino,1,0,0,0,0
Gasic,Milan,5,0,1,0,0
Jutzi,Florian,4,0,0,0,0
Jutzi,Thomas,0,0,0,0,0
Kienast,Simon,3,0,0,0,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,0,0,0,0,0
Schüpbach,Manuel,1,0,0,0,0
Targise,Alessandro,2,0,0,1,0
Tschanz,Timon,2,0,1,0,0
Von,Wartburg,Micha,1,0,0,0,0
