Sa,09.02.19,15:00
M3
TV,Steffisburg,3,*
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,2,2,0,0,0
Fuster,Tino,0,0,1,2,0
Jutzi,Florian,1,0,1,0,0
Jutzi,Thomas,3,0,0,0,0
Kienast,Simon,5,1,0,1,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,0,0,0,0,0
Schüpbach,Manuel,4,0,0,0,0
Schüpbach,Manuel,0,0,0,0,0
Targise,Alessandro,0,0,0,0,0
Tschanz,Timon,4,0,0,1,0
Von,Wartburg,Micha,0,0,0,0,0
