Sa,08.12.18,15:00
M3
TV,Steffisburg,3,*
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,1,0,0,1,0
Blaser,Dominic,1,0,1,0,0
Christen,Andreas,3,0,1,0,0
Fuster,Tino,1,0,0,0,0
Gasic,Milan,3,0,0,0,0
Jutzi,Florian,4,0,1,0,0
Jutzi,Thomas,3,0,0,2,0
Kienast,Simon,3,0,0,0,0
Kuhn,Timo,4,0,0,0,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,0,0,0,0,0
Targise,Alessandro,3,0,0,0,0
Tschanz,Timon,3,0,0,0,0
