Sa,01.09.18,15:30
M3
TV,Steffisburg,3,*
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,4,1,0,0,0
Berger,Thomas,0,0,0,0,0
Fuster,Tino,1,0,1,0,0
Gasic,Milan,2,0,1,1,0
Kienast,Simon,3,0,0,2,0
Preusser,Michael,0,0,0,0,0
Schneeberger,Remo,0,0,0,0,0
Schüpbach,Manuel,0,0,0,1,0
Targise,Alessandro,4,0,0,0,0
Tschanz,Timon,3,0,0,1,0
Von,Wartburg,Micha,2,0,0,0,0
