So,28.10.18,11:30
M3
TV,Steffisburg,3,*
SPIELER,TORE,7M,V,2',D
Andrist,Dominik,10,3,1,0,0
Berger,Thomas,2,0,0,0,0
Blaser,Dominic,0,0,1,0,0
Christen,Andreas,3,0,0,0,0
Fuster,Tino,0,0,0,0,0
Gasic,Milan,0,0,0,1,0
Jutzi,Thomas,1,0,0,0,0
Kienast,Simon,1,0,0,1,0
Pohle,Cédric,0,0,0,0,0
Preusser,Michael,0,0,0,0,0
Schüpbach,Benjamin,1,0,0,2,0
Schüpbach,Manuel,1,0,0,1,0
Targise,Alessandro,3,0,0,0,0
Tschanz,Timon,0,0,0,0,0
